"Actores","Director","Genero","Descripcion","Anho","Titulo"
"Henry Cavill, Freya Allan, Anya Chalotra, Mimi Ndiweni","Tomek Baginski","Action, Adventure, Drama, Fantasy, Horror, Mystery","Geralt of Rivia, a solitary monster hunter, struggles to find his place in a world where people often prove more wicked than beasts.","20 Dec 2019","The Witcher"
"Reese Witherspoon, Nicole Kidman, Shailene Woodley, Zoë Kravitz",,"Crime, Drama, Mystery","The apparently perfect lives of upper-class mothers, at a prestigious elementary school, unravel to the point of murder when a single-mother moves to their quaint Californian beach town.","19 Feb 2017","Big Little Lies"
"Dominic West, John Doman, Deirdre Lovejoy, Wendell Pierce",,"Crime, Drama, Thriller","The Baltimore drug scene, as seen through the eyes of drug dealers and law enforcement.","02 Jun 2002","The Wire"
"Peter Krause, Michael C. Hall, Frances Conroy, Lauren Ambrose",,"Comedy, Drama","A chronicle of the lives of a dysfunctional family who run an independent funeral home in Los Angeles.","03 Jun 2001","Six Feet Under"
"Bill Paxton, Jeanne Tripplehorn, Chloë Sevigny, Ginnifer Goodwin",,"Drama","A polygamist and his relationship with his three wives.","12 Mar 2006","Big Love"
"Steve Buscemi, Kelly Macdonald, Michael Shannon, Shea Whigham",,"Crime, Drama, History","An Atlantic City politician plays both sides of the law by conspiring with gangsters during the Prohibition era.","19 Sep 2010","Boardwalk Empire"
"Tim Robbins, Holly Hunter, Daniel Zovatto, Jerrika Hinton",,"Comedy, Drama, Fantasy","A dark dramedy about a progressive Portlandian family made up of husband, wife, three adopted children from Liberia, Vietnam and Colombia and one biological daughter who find their sanity tested and values challenged in 2018 America.","11 Feb 2018","Here and Now"
"Gabriel Byrne",,"Drama","A psychotherapist questions his abilities and gets help by reuniting with his old therapist, whom he has not seen for ten years.","28 Jan 2008","In Treatment"
"Rebecca De Mornay, Greyson Fletcher, Willie Garson, Bruce Greenwood",,"Drama","In Imperial Beach, California, the dysfunctional Yost family intersects with two new arrivals to the community: a dim-but-wealthy surfing enthusiast and man spurned by the Yosts years ago.","10 Jun 2007","John from Cincinnati"
"Claes Bang, Dolly Wells, Morfydd Clark",,"Drama, Horror","In 1897 Transylvania, the blood-drinking Count draws his plans against Victorian London.","04 Jan 2020","Dracula"
"Hye-Jun Kim, Doona Bae, Greg Chun, Jun-ho Heo",,"Action, Drama, Horror, Thriller","While strange rumors about their ill king grip a kingdom, the crown prince becomes their only hope against a mysterious plague overtaking the land.","25 Jan 2019","Kingdom"
"Lauren Ambrose, Toby Kebbell, Nell Tiger Free, Rupert Grint",,"Drama, Horror, Thriller","A Philadelphia couple is in mourning after an unspeakable tragedy creates a rift in their marriage and opens the door for a mysterious force to enter their home.","28 Nov 2019","Servant"
"Octavia Spencer, Lizzy Caplan, Michael Beach, Mekhi Phifer",,"Crime, Drama, Thriller","A true-crime podcaster tries to solve the mystery surrounding a family patriarch's death.","06 Dec 2019","Truth Be Told"
"Regina King, Yahya Abdul-Mateen II, Tom Mison, Sara Vickers",,"Action, Drama, Mystery, Sci-Fi","Set in an alternate history where masked vigilantes are treated as outlaws, Watchmen embraces the nostalgia of the original groundbreaking graphic novel of the same name, while attempting to break new ground of its own.","20 Oct 2019","Watchmen"
"Walter Archer, Victor Avila, Alberto Ayala, Elise J. Bean",,"Documentary, Crime","A Netflix Original Series documenting various stories about exposing the greed, corruption, and crime spreading through the global economy.","26 Jan 2018","Dirty Money"
"Dominic Purcell, Wentworth Miller, Robert Knepper, Amaury Nolasco",,"Action, Crime, Drama, Mystery, Thriller","Due to a political conspiracy, an innocent man is sent to death row and his only hope is his brother, who makes it his mission to deliberately get himself sent to the same prison in order to break the both of them out, from the inside.","29 Aug 2005","Prison Break"
"Ana Fernández, Blanca Suárez, Yon González, Nadia de Santiago",,"Drama","Set in the 1920s, this is the story of four women from different backgrounds newly hired as operators for a phone company.","28 Apr 2017","Cable Girls"
"David Harbour, Finn Wolfhard, Millie Bobby Brown, Gaten Matarazzo",,"Drama, Fantasy, Horror, Mystery, Sci-Fi, Thriller","When a young boy disappears, his mother, a police chief and his friends must confront terrifying supernatural forces in order to get him back.","15 Jul 2016","Stranger Things"
"Amy Adams, Patricia Clarkson, Chris Messina, Eliza Scanlen",,"Crime, Drama, Mystery, Thriller","A reporter confronts the psychological demons from her past when she returns to her hometown to cover a violent murder.","08 Jul 2018","Sharp Objects"
"Benedict Cumberbatch, Jennifer Jason Leigh, Hugo Weaving, Sebastian Maltz",,"Drama","Based on the Patrick Melrose Novels by Edward St. Aubyn.","12 May 2018","Patrick Melrose"
"Michael C. Hall, Amy James-Kelly, Amanda Abbington, Freddie Thorp",,"Drama, Mystery","After his teenage daughter goes missing, a widowed surgeon begins uncovering dark secrets of the people closest to him.","10 May 2018","Safe"
"Alba August, Lucas Lynggaard Tønnesen, Mikkel Boe Følsgaard, Lukas Løkken",,"Sci-Fi, Thriller","After a brutal virus wipes out most of the population, two young siblings embark on a perilous search for safety.","04 May 2018","The Rain"
"Clare-Hope Ashitey, Michael Mosley, David Lyons, Russell Hornsby",,"Crime, Drama","Tensions run high between African American citizens and Caucasian cops in Jersey City when a teenage African American boy is critically injured by a cop.","23 Feb 2018","Seven Seconds"
"Bill Pullman, Dohn Norwood, Jessica Biel, Christopher Abbott","Antonio Campos","Crime, Drama, Mystery, Thriller","Anthology series that examines how and why ordinary people commit brutal crimes.","02 Aug 2017","The Sinner"
"Mackenzie Crook, David Morrissey, Nikolaj Lie Kaas, Eleanor Worthington-Cox",,"Action, Drama, Fantasy","In 43 AD, the Roman Army returns to crush the Celtic heart of Britannia.","26 Jan 2018","Britannia"
